Sequence,Character,Hex
"\angle",∟,U+221F,1
"\angle",∡,U+2221,2
"\angle",∢,U+2222,3
"\angle",⊾,U+22BE,4
"\angle",⊿,U+22BF,5
"\join",⋈,U+22C8,1
"\join",⋉,U+22C9,2
"\join",⋊,U+22CA,3
"\join",⋋,U+22CB,4
"\join",⋌,U+22CC,5
"\join",⨝,U+2A1D,6
"\join",⟕,U+27D5,7
"\join",⟖,U+27D6,8
"\join",⟗,U+27D7,9
"\esh",ʃ,U+0283,1
"\l",←,U+2190,1
"\l",⇐,U+21D0,2
"\l",⇚,U+21DA,3
"\l",⭅,U+2B45,4
"\l",⇇,U+21C7,5
"\l",⇆,U+21C6,6
"\l",↤,U+21A4,7
"\l",⇦,U+21E6,8
"\l",↞,U+219E,9
"\l",↼,U+21BC,10
"\l",↽,U+21BD,11
"\l",⇠,U+21E0,12
"\l",⇺,U+21FA,13
"\l",↜,U+219C,14
"\l",⇽,U+21FD,15
"\l",⟵,U+27F5,16
"\l",⟸,U+27F8,17
"\l",↚,U+219A,18
"\l",⇍,U+21CD,19
"\l",⇷,U+21F7,20
"\l",↹,U+21B9,21
"\l",↢,U+21A2,22
"\l",↩,U+21A9,23
"\l",↫,U+21AB,24
"\l",⇋,U+21CB,25
"\l",⇜,U+21DC,26
"\l",⇤,U+21E4,27
"\l",⟻,U+27FB,28
"\l",⟽,U+27FD,29
"\l",⤆,U+2906,30
"\l",↶,U+21B6,31
"\l",↺,U+21BA,32
"\l",⟲,U+27F2,33
"\r",→,U+2192,1
"\r",⇒,U+21D2,2
"\r",⇛,U+21DB,3
"\r",⭆,U+2B46,4
"\r",⇉,U+21C9,5
"\r",⇄,U+21C4,6
"\r",↦,U+21A6,7
"\r",⇨,U+21E8,8
"\r",↠,U+21A0,9
"\r",⇀,U+21C0,10
"\r",⇁,U+21C1,11
"\r",⇢,U+21E2,12
"\r",⇻,U+21FB,13
"\r",↝,U+219D,14
"\r",⇾,U+21FE,15
"\r",⟶,U+27F6,16
"\r",⟹,U+27F9,17
"\r",↛,U+219B,18
"\r",⇏,U+21CF,19
"\r",⇸,U+21F8,20
"\r",⇶,U+21F6,21
"\r",↴,U+21B4,22
"\r",↣,U+21A3,23
"\r",↪,U+21AA,24
"\r",↬,U+21AC,25
"\r",⇌,U+21CC,26
"\r",⇝,U+21DD,27
"\r",⇥,U+21E5,28
"\r",⟼,U+27FC,29
"\r",⟾,U+27FE,30
"\r",⤇,U+2907,31
"\r",↷,U+21B7,32
"\r",↻,U+21BB,33
"\r",⟳,U+27F3,34
"\r",⇰,U+21F0,35
"\r",⇴,U+21F4,36
"\r",⟴,U+27F4,37
"\r",⟿,U+27FF,38
"\r",➵,U+27B5,39
"\r",➸,U+27B8,40
"\r",➙,U+2799,41
"\r",➔,U+2794,42
"\r",➛,U+279B,43
"\r",➜,U+279C,44
"\r",➝,U+279D,45
"\r",➞,U+279E,46
"\r",➟,U+279F,47
"\r",➠,U+27A0,48
"\r",➡,U+27A1,49
"\r",➢,U+27A2,50
"\r",➣,U+27A3,51
"\r",➤,U+27A4,52
"\r",➧,U+27A7,53
"\r",➨,U+27A8,54
"\r",➩,U+27A9,55
"\r",➪,U+27AA,56
"\r",➫,U+27AB,57
"\r",➬,U+27AC,58
"\r",➭,U+27AD,59
"\r",➮,U+27AE,60
"\r",➯,U+27AF,61
"\r",➱,U+27B1,62
"\r",➲,U+27B2,63
"\r",➳,U+27B3,64
"\r",➺,U+27BA,65
"\r",➻,U+27BB,66
"\r",➼,U+27BC,67
"\r",➽,U+27BD,68
"\r",➾,U+27BE,69
"\r",⊸,U+22B8,70
"\u",↑,U+2191,1
"\u",⇑,U+21D1,2
"\u",⤊,U+290A,3
"\u",⟰,U+27F0,4
"\u",⇈,U+21C8,5
"\u",⇅,U+21C5,6
"\u",↥,U+21A5,7
"\u",⇧,U+21E7,8
"\u",↟,U+219F,9
"\u",↿,U+21BF,10
"\u",↾,U+21BE,11
"\u",⇡,U+21E1,12
"\u",⇞,U+21DE,13
"\u",↰,U+21B0,14
"\u",↱,U+21B1,15
"\u",➦,U+27A6,16
"\u",⇪,U+21EA,17
"\u",⇫,U+21EB,18
"\u",⇬,U+21EC,19
"\u",⇭,U+21ED,20
"\u",⇮,U+21EE,21
"\u",⇯,U+21EF,22
"\d",↓,U+2193,1
"\d",⇓,U+21D3,2
"\d",⤋,U+290B,3
"\d",⟱,U+27F1,4
"\d",⇊,U+21CA,5
"\d",⇵,U+21F5,6
"\d",↧,U+21A7,7
"\d",⇩,U+21E9,8
"\d",↡,U+21A1,9
"\d",⇃,U+21C3,10
"\d",⇂,U+21C2,11
"\d",⇣,U+21E3,12
"\d",⇟,U+21DF,13
"\d",↵,U+21B5,14
"\d",↲,U+21B2,15
"\d",↳,U+21B3,16
"\d",➥,U+27A5,17
"\d",↯,U+21AF,18
"\ud",↕,U+2195,1
"\ud",⇕,U+21D5,2
"\ud",↨,U+21A8,3
"\ud",⇳,U+21F3,4
"\lr",↔,U+2194,1
"\lr",⇔,U+21D4,2
"\lr",⇼,U+21FC,3
"\lr",↭,U+21AD,4
"\lr",⇿,U+21FF,5
"\lr",⟷,U+27F7,6
"\lr",⟺,U+27FA,7
"\lr",↮,U+21AE,8
"\lr",⇎,U+21CE,9
"\lr",⇹,U+21F9,10
"\ul",↖,U+2196,1
"\ul",⇖,U+21D6,2
"\ul",⇱,U+21F1,3
"\ul",↸,U+21B8,4
"\ur",↗,U+2197,1
"\ur",⇗,U+21D7,2
"\ur",➶,U+27B6,3
"\ur",➹,U+27B9,4
"\ur",➚,U+279A,5
"\dr",↘,U+2198,1
"\dr",⇘,U+21D8,2
"\dr",⇲,U+21F2,3
"\dr",➴,U+27B4,4
"\dr",➷,U+27B7,5
"\dr",➘,U+2798,6
"\dl",↙,U+2199,1
"\dl",⇙,U+21D9,2
"\l-",←,U+2190,1
"\<-",←,U+2190,1
"\l=",⇐,U+21D0,1
"\<=",⇐,U+21D0,1
"\r-",→,U+2192,1
"\->",→,U+2192,1
"\r=",⇒,U+21D2,1
"\=>",⇒,U+21D2,1
"\u-",↑,U+2191,1
"\u=",⇑,U+21D1,1
"\d-",↓,U+2193,1
"\d=",⇓,U+21D3,1
"\ud-",↕,U+2195,1
"\ud=",⇕,U+21D5,1
"\lr-",↔,U+2194,1
"\<->",↔,U+2194,1
"\lr=",⇔,U+21D4,1
"\<=>",⇔,U+21D4,1
"\ul-",↖,U+2196,1
"\ul=",⇖,U+21D6,1
"\ur-",↗,U+2197,1
"\ur=",⇗,U+21D7,1
"\dr-",↘,U+2198,1
"\dr=",⇘,U+21D8,1
"\dl-",↙,U+2199,1
"\dl=",⇙,U+21D9,1
"\l==",⇚,U+21DA,1
"\l-2",⇇,U+21C7,1
"\l-r-",⇆,U+21C6,1
"\r==",⇛,U+21DB,1
"\r-2",⇉,U+21C9,1
"\r-3",⇶,U+21F6,1
"\r-l-",⇄,U+21C4,1
"\u==",⟰,U+27F0,1
"\u-2",⇈,U+21C8,1
"\u-d-",⇅,U+21C5,1
"\d==",⟱,U+27F1,1
"\d-2",⇊,U+21CA,1
"\d-u-",⇵,U+21F5,1
"\l--",⟵,U+27F5,1
"\<--",⟵,U+27F5,1
"\l~",↜,U+219C,1
"\l~",⇜,U+21DC,2
"\r--",⟶,U+27F6,1
"\-->",⟶,U+27F6,1
"\r~",↝,U+219D,1
"\r~",⇝,U+21DD,2
"\r~",⟿,U+27FF,3
"\lr--",⟷,U+27F7,1
"\<-->",⟷,U+27F7,1
"\lr~",↭,U+21AD,1
"\l-n",↚,U+219A,1
"\<-n",↚,U+219A,1
"\l=n",⇍,U+21CD,1
"\r-n",↛,U+219B,1
"\->n",↛,U+219B,1
"\r=n",⇏,U+21CF,1
"\=>n",⇏,U+21CF,1
"\lr-n",↮,U+21AE,1
"\<->n",↮,U+21AE,1
"\lr=n",⇎,U+21CE,1
"\<=>n",⇎,U+21CE,1
"\l-|",↤,U+21A4,1
"\ll-",↞,U+219E,1
"\r-|",↦,U+21A6,1
"\rr-",↠,U+21A0,1
"\u-|",↥,U+21A5,1
"\uu-",↟,U+219F,1
"\d-|",↧,U+21A7,1
"\dd-",↡,U+21A1,1
"\ud-|",↨,U+21A8,1
"\l->",↢,U+21A2,1
"\r->",↣,U+21A3,1
"\r-o",⊸,U+22B8,1
"\-o",⊸,U+22B8,1
"\dz",↯,U+21AF,1
"\...",⋯,U+22EF,1
"\...",⋮,U+22EE,2
"\...",⋰,U+22F0,3
"\...",⋱,U+22F1,4
"\---",─,U+2500,1
"\---",│,U+2502,2
"\---",┌,U+250C,3
"\---",┐,U+2510,4
"\---",└,U+2514,5
"\---",┘,U+2518,6
"\---",├,U+251C,7
"\---",┤,U+2524,8
"\---",┬,U+252C,9
"\---",┼,U+253C,10
"\---",┴,U+2534,11
"\---",╴,U+2574,12
"\---",╵,U+2575,13
"\---",╶,U+2576,14
"\---",╷,U+2577,15
"\---",╭,U+256D,16
"\---",╮,U+256E,17
"\---",╯,U+256F,18
"\---",╰,U+2570,19
"\---",╱,U+2571,20
"\---",╲,U+2572,21
"\---",╳,U+2573,22
"\--=",═,U+2550,1
"\--=",║,U+2551,2
"\--=",╔,U+2554,3
"\--=",╗,U+2557,4
"\--=",╚,U+255A,5
"\--=",╝,U+255D,6
"\--=",╠,U+2560,7
"\--=",╣,U+2563,8
"\--=",╦,U+2566,9
"\--=",╬,U+256C,10
"\--=",╩,U+2569,11
"\--=",╒,U+2552,12
"\--=",╕,U+2555,13
"\--=",╘,U+2558,14
"\--=",╛,U+255B,15
"\--=",╞,U+255E,16
"\--=",╡,U+2561,17
"\--=",╤,U+2564,18
"\--=",╪,U+256A,19
"\--=",╧,U+2567,20
"\--=",╓,U+2553,21
"\--=",╖,U+2556,22
"\--=",╙,U+2559,23
"\--=",╜,U+255C,24
"\--=",╟,U+255F,25
"\--=",╢,U+2562,26
"\--=",╥,U+2565,27
"\--=",╫,U+256B,28
"\--=",╨,U+2568,29
"\--_",━,U+2501,1
"\--_",┃,U+2503,2
"\--_",┏,U+250F,3
"\--_",┓,U+2513,4
"\--_",┗,U+2517,5
"\--_",┛,U+251B,6
"\--_",┣,U+2523,7
"\--_",┫,U+252B,8
"\--_",┳,U+2533,9
"\--_",╋,U+254B,10
"\--_",┻,U+253B,11
"\--_",╸,U+2578,12
"\--_",╹,U+2579,13
"\--_",╺,U+257A,14
"\--_",╻,U+257B,15
"\--_",┍,U+250D,16
"\--_",┯,U+252F,17
"\--_",┑,U+2511,18
"\--_",┕,U+2515,19
"\--_",┷,U+2537,20
